method,operating_point,threshold,coverage,precision,recall,f1,dice_accepted,n_deferred,pct_deferred
deterministic_fullft,balanced_f1,0.0,1.0,1.0,0.0,0.0,0.6791446208953857,0,0.0
deterministic_fullft,high_precision,0.0,1.0,1.0,0.0,0.0,0.6791446208953857,0,0.0
deterministic_fullft,high_recall,0.0,1.0,1.0,0.0,0.0,0.6791446208953857,0,0.0
mc_dropout_fullft,balanced_f1,0.02760638394266672,0.8865828563187789,0.2946118712425232,0.6069366931915283,0.3966747224330902,0.8598538041114807,408955,11.341714368122116
mc_dropout_fullft,high_precision,0.12312358230352405,0.9899998890663827,0.39869099855422974,0.07241952419281006,0.12257426977157593,0.7978830933570862,36058,1.0000110933617323
mc_dropout_fullft,high_recall,0.00013724290067330003,0.010000110933617324,0.055511076003313065,0.9982267618179321,0.10517348349094391,0.9779393076896667,3569702,98.99998890663827
