comparison,metric,mean_a,mean_b,pval,sig,winner
mc_vs_deterministic,dice,0.7910198450088501,0.7356839776039124,1.9073486328125e-06,***,MC Dropout
mc_vs_deterministic,auc,0.9597423053261906,0.9439900363007501,1.9073486328125e-06,***,MC Dropout
mc_vs_deterministic,ece,0.042728858536150535,0.24545956404105396,1.9073486328125e-06,***,Deterministic
mc_vs_deterministic,unc_auroc,0.8504343392193178,0.5,1.9073486328125e-06,***,MC Dropout
mc_vs_ensemble,dice,0.7910198450088501,0.7608928084373474,9.5367431640625e-06,***,MC Dropout
mc_vs_ensemble,auc,0.9597423053261906,0.9472067622548155,1.9073486328125e-06,***,MC Dropout
mc_vs_ensemble,ece,0.042728858536150535,0.023983417729090524,3.814697265625e-06,***,MC Dropout
mc_vs_ensemble,unc_auroc,0.8504343392193178,0.8203410130291818,0.00485992431640625,**,MC Dropout
