dataset,dice,auc,ece,unc_auroc,deferral_balanced_f1_coverage,deferral_balanced_f1_dice_acc,selective_aucc_dice,selective_aucc_auc
STARE,0.7273640036582947,0.9487732790333692,0.03823702651787233,0.8462499085864676,0.9161306381225586,0.8138259649276733,0.7729770332574843,0.830862762701481
CHASE_DB1,0.7257692217826843,0.9518575611515411,0.03473269017413234,0.8352057792771186,0.9358290263584682,0.8167462348937988,0.7660122451457109,0.8417812041484477
