method,dice,auc,iou,ece,sensitivity,specificity,unc_auroc,global_ece,threshold,uncertainty_mean,uncertainty_std,uncertainty_p95,uncertainty_max,global_unc_auroc,avg_runtime_s_per_image
deterministic,0.7356840372085571,0.9439900363007501,0.5821589231491089,0.24545956404105396,0.7969776034355164,0.9469942718744278,0.5,0.24545935051507356,0.7,0.0,0.0,0.0,0.0,0.5,0.0757136812502722
ensemble,0.7608927488327026,0.9472067622548155,0.6144118309020996,0.023983417729090524,0.7317907094955445,0.9728563964366913,0.8203410130291818,0.020545358852486106,,,,,,0.8141714745668278,2.0612304958005554
mc_dropout,0.7910197973251343,0.9597423053261906,0.6544435620307922,0.042728858536150535,0.8234951227903367,0.9629877865314483,0.8504343392193178,0.042249105425464506,0.7,0.011979422488378013,0.024778684184285464,0.06758372113108631,0.301381379365921,0.8433196205693826,1.362078420949547
