fold,dice,auc,ece,global_ece,global_unc_auroc,avg_runtime_s_per_image
0,0.7806438207626343,0.9662553184429278,0.042839087620275114,0.04246033779319902,0.7928872271200407,1.3564235250501953
1,0.7851018905639648,0.9630063343365786,0.05517911114696543,0.05517676909108542,0.6698468621887248,1.3827497208003479
2,0.7770506739616394,0.9644217418090278,0.03609472960177556,0.03318001685558367,0.8391191567328891,1.464967814600095
3,0.772712230682373,0.9577440790155567,0.04121643264004215,0.03847113303445101,0.7449736289518782,1.7514478332996077
4,0.7819212675094604,0.9616031692768372,0.04418588866920753,0.04251710027983442,0.7911133101530601,1.6493037874992296
