dataset,balanced_f1_coverage,balanced_f1_precision,balanced_f1_recall,balanced_f1_dice_acc,high_recall_coverage,high_recall_dice_acc,selective_aucc_dice,selective_aucc_auc
STARE,0.9161306381225586,0.28811484575271606,0.5164676308631897,0.8138259649276733,0.010000038146972656,0.9372788667678833,0.7729770332574843,0.830862762701481
CHASE_DB1,0.9358290263584682,0.34960734844207764,0.5132768154144287,0.8167462348937988,0.01000009264264788,0.9170524477958679,0.7660122451457109,0.8417812041484477
