method,dice,auc,iou,ece,sensitivity,specificity,unc_auroc,threshold,global_ece,global_ece_raw,uncertainty_mean,uncertainty_std,avg_runtime_s,adaptive_deferral_T,adt_error_before,adt_error_after,adt_error_reduction,adt_pct_deferred,global_unc_auroc,aucc_dice,aucc_auc,calibration_T,ece_improvement
mc_dropout,0.7631021738052368,0.9651944095125499,0.6171367168426514,0.038772417237630516,0.8379207879304886,0.9485423594713212,0.7220723665814452,0.5,0.03500299953548791,0.03500299953548791,0.012586560581815696,0.011847894478253598,2.6457371561496985,0.014485207752291882,0.06584361586719752,0.04841302083805203,0.017430595029145485,33.3642828500043,0.721834101644169,0.7924966866319829,0.8835127796122854,nan,nan
mc_dropout_adaptive,0.7631021738052368,0.9651944095125499,0.6171367168426514,0.038772417237630516,0.8379207879304886,0.9485423594713212,0.7220723665814452,0.5,0.03500299953548791,0.03500299953548791,0.012586560581815696,0.011847894478253598,2.6457371561496985,nan,0.06584361586719752,0.03792260577902198,0.02792101008817554,25.000110838456592,0.721834101644169,0.7924966866319829,0.8835127796122854,nan,nan
mc_dropout_conf_aware,0.7631021738052368,0.9651944095125499,0.6171367168426514,0.038772417237630516,0.8379207879304886,0.9485423594713212,0.7220723665814452,0.5,0.03500299953548791,0.03500299953548791,0.012586560581815696,0.011847894478253598,2.6457371561496985,0.004862210000350361,0.06584361586719752,0.0336907853372395,0.032152830529958015,10.858762890838412,0.721834101644169,0.7924966866319829,0.8835127796122854,nan,nan
mc_dropout_calibrated,0.7631021738052368,0.9651944095125499,0.6171367168426514,0.038772417237630516,0.8379207879304886,0.9485423594713212,0.7220723665814452,0.5,0.0430383050913412,0.03500299953548791,0.012586560581815696,0.011847894478253598,2.6457371561496985,0.014485207752291882,0.06584361586719752,0.04841302083805203,0.017430595029145485,33.3642828500043,0.721834101644169,0.7924966866319829,0.883512779661218,1.202444314956665,-0.008035305555853287
tta,0.7681319713592529,0.9689837382094055,0.6237295866012573,0.03702895337830432,0.8376434981822968,0.950677689909935,0.881041014825113,0.5,0.034524409962879976,0.034524409962879976,0.002883350144169392,0.01158055739792063,0.8593655293494521,0.0023388386714206723,0.06401907317340375,0.028719039354473352,0.03530003381893039,13.161424959633568,0.880819402413545,0.8463159192692148,0.8880278347228596,nan,nan
tta_adaptive,0.7681319713592529,0.9689837382094055,0.6237295866012573,0.03702895337830432,0.8376434981822968,0.950677689909935,0.881041014825113,0.5,0.034524409962879976,0.034524409962879976,0.002883350144169392,0.01158055739792063,0.8593655293494521,nan,0.06401907317340375,0.01314735896885395,0.05087171420454979,25.000110838456592,0.880819402413545,0.8463159192692148,0.8880278347228596,nan,nan
tta_conf_aware,0.7681319713592529,0.9689837382094055,0.6237295866012573,0.03702895337830432,0.8376434981822968,0.950677689909935,0.881041014825113,0.5,0.034524409962879976,0.034524409962879976,0.002883350144169392,0.01158055739792063,0.8593655293494521,0.0005836824945352039,0.06401907317340375,0.028759604133665562,0.03525946903973819,12.083638596211387,0.880819402413545,0.8463159192692148,0.8880278347228596,nan,nan
tta_calibrated,0.7681319713592529,0.9689837382094055,0.6237295866012573,0.03702895337830432,0.8376434981822968,0.950677689909935,0.881041014825113,0.5,0.03925495395474707,0.034524409962879976,0.002883350144169392,0.01158055739792063,0.8593655293494521,0.0023388386714206723,0.06401907317340375,0.028719039354473352,0.03530003381893039,13.161424959633568,0.880819402413545,0.8463159192692148,0.8880278339558131,1.35435950756073,-0.004730543991867092
